bbl,address,bldgclass,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,lat,lon
1004780012,164 ELIZABETH STREET,C7,39.94953872340209,49457.52893957179,135.50007928649805,147.0143025021197,199.74769361701044,40.72068460977343,-73.99464658744996
1004780013,166 ELIZABETH STREET,C7,29.029760945342016,35938.84405033341,98.46258643926963,106.82952027885861,145.14880472671007,40.72076882268437,-73.99465756776425
1004780014,168 ELIZABETH STREET,C7,19.84109687899778,24563.277936199254,67.29665187999795,73.01523651471183,99.2054843949889,40.72084607399787,-73.99469368546931
1004250026,17 RIVINGTON STREET,C7,35.12504951226138,43484.811296179585,119.1364693046016,129.26018220512185,175.62524756130688,40.721129319484064,-73.99252952711713
1004260044,8 RIVINGTON STREET,C7,37.98825400830908,47029.45846228664,128.84783140352505,139.7967747505774,189.94127004154538,40.72157893640557,-73.99271603836081
1004260002,217 BOWERY,C7,36.03047550047946,44605.728669593576,122.2074758071057,132.5921498417644,180.15237750239731,40.72170460923776,-73.99313438404745
1004260022,13 STANTON STREET,C7,19.765014696887338,24469.088194746524,67.0385977938261,72.7352540845454,98.82507348443669,40.722461272004224,-73.99233196291613
1004920007,202 ELIZABETH STREET,C7,38.17109822351493,47255.81960071148,129.46799890605885,140.46964146253495,190.85549111757464,40.72196166632184,-73.99420728507513
1004930009,228 MOTT STREET,C4,26.58139520242641,32907.7672606039,90.15826646740794,97.8195343449292,132.90697601213205,40.722355540242205,-73.99496851957127
1004930010,230 MOTT STREET,C7,25.055519585856782,31018.733247290696,84.98283081449506,92.20431207595296,125.2775979292839,40.72241307963514,-73.9949147723194
1004930012,234 MOTT STREET,C4,24.94204739767227,30878.25467831827,84.59795802278978,91.78673442343394,124.71023698836133,40.72254399764949,-73.9948746090578
1004930017,20 PRINCE STREET,C7,64.82557008052287,80254.05575968731,219.87412536900632,238.55809789632414,324.1278504026143,40.72264932237977,-73.99453430736618
1005070001,13 PRINCE STREET,C7,38.809914902379305,48046.67464914558,131.63472506615227,142.82048684075582,194.0495745118965,40.722827641922336,-73.99395294169089
1004930013,30 PRINCE STREET,C7,39.462717224915025,48854.8439244448,133.84888746423232,145.2227993876873,197.3135861245751,40.72277019018494,-73.99488491221179
1005080046,17 PRINCE STREET,C7,21.264930865192515,26325.984411108333,72.12598468796804,78.25494558390845,106.32465432596257,40.72293516490452,-73.99420021211337
1005070004,232 ELIZABETH STREET,C7,36.41361013260089,45080.049344159896,123.50698450454766,134.00208528797125,182.06805066300444,40.72308641710944,-73.99377755523838
1002920010,28 FORSYTH STREET,C7,36.26001497330654,44889.89853695349,122.98602338891368,133.43685510176806,181.3000748665327,40.71521829439045,-73.9941735263685
1003030020,122 HESTER STREET,C7,33.42731875981524,41383.02062465127,113.3781386976747,123.01253303612009,167.1365937990762,40.71692606741166,-73.99472246573215
1003040035,75 CHRYSTIE STREET,C7,71.18451660001122,88126.4315508139,241.44227822140795,261.95902108804125,355.9225830000561,40.71719904412899,-73.99467612237784
1003040031,83 CHRYSTIE STREET,C7,50.74314756956451,62820.016691120865,172.10963477019416,186.7347830559974,253.71573784782254,40.717450566297586,-73.9945335916034
1002030015,58 ELIZABETH STREET,C7,58.236307426012495,72096.54859340347,197.52479066685882,214.30961132772597,291.18153713006245,40.71733904348944,-73.99628298113748
1002030015,58 ELIZABETH STREET,C7,58.236307426012495,72096.54859340347,197.52479066685882,214.30961132772597,291.18153713006245,40.71742935877394,-73.99620445850461
1002050023,111 MOTT STREET,C7,27.37014903249891,33884.244502233654,92.83354658146207,100.722148439596,136.85074516249455,40.71761518746224,-73.99753052852586
1002050018,174 HESTER STREET,C7,27.586952977907846,34152.64778664991,93.5688980456162,101.51998695870087,137.93476488953922,40.71786931629035,-73.99765610732008
1003040030,85 CHRYSTIE STREET,C7,29.612607847658037,36660.408515400646,100.4394753846593,108.97439687938157,148.06303923829017,40.717546939627866,-73.99448221898392
1003040029,87 CHRYSTIE STREET,CB,27.603867724475187,34173.58824290028,93.6262691586309,101.5822332260687,138.01933862237593,40.71760738657938,-73.99446521139257
1002380040,173 HESTER STREET,C7,69.72870093162419,86324.13175335075,236.50447055712536,256.601619428377,348.64350465812095,40.71800735246064,-73.99684224730287
1002370029,121 MOTT STREET,C7,39.04113250456785,48332.922040654994,132.4189644949452,143.67136761680968,195.20566252283922,40.71805370065071,-73.99720982530229
1002370028,123 MOTT STREET,C7,33.493624832117476,41465.10754216144,113.60303436208613,123.2565393821923,167.46812416058737,40.71818038132336,-73.9971153974795
1002380004,124 MOTT STREET,C7,51.012377228895616,63153.323009372776,173.02280276540486,187.72554820233586,255.06188614447805,40.718238074047186,-73.99663709020496
1002390008,84 ELIZABETH STREET,C7,27.140425563397418,33599.846847486006,92.0543749246192,99.87676607330249,135.7021278169871,40.71806007103681,-73.99579955487256
1002390010,88 ELIZABETH STREET,C7,26.17157173556964,32400.405808635212,88.76823509215127,96.31138398689626,130.85785867784818,40.7181873565949,-73.99573354547256
1002390011,90 ELIZABETH STREET,C7,28.194089550735125,34904.282863810084,95.62817222961667,103.75424954670525,140.97044775367561,40.71825297474323,-73.99568940328422
1002380027,83 ELIZABETH STREET,C7,54.155433494989495,67044.426666797,183.68336073095065,199.29199526156134,270.7771674749475,40.71814343861233,-73.99625400464518
1002380027,83 ELIZABETH STREET,C7,54.155433494989495,67044.426666797,183.68336073095065,199.29199526156134,270.7771674749475,40.718207438623345,-73.99621570498283
1002380023,91 ELIZABETH STREET,C7,38.27940018480596,47389.89742878977,129.83533542134185,140.8681926800859,191.39700092402978,40.7184204904447,-73.9961095289655
1002380021,95 ELIZABETH STREET,C7,38.82430632204844,48064.49122669597,131.68353760738623,142.87344726513828,194.12153161024222,40.71851898289218,-73.99606330429214
1002380014,209 GRAND STREET,C7,45.48959162216346,56316.11442823836,154.290724460927,167.40169716956154,227.4479581108173,40.71875343365601,-73.99624553397157
1002390012,92 ELIZABETH STREET,C7,97.36216808891834,120534.3640940809,330.23113450433124,358.2927785672195,486.8108404445917,40.718368380714764,-73.99562968735941
1004700031,208 GRAND STREET,C7,25.72109298591971,31842.7131165686,87.24030990840713,94.65362218818454,128.60546492959855,40.719189461898466,-73.99621242629887
1004700032,206 GRAND STREET,C7,31.480630271735453,38973.02027640849,106.7753980175575,115.84871939998646,157.40315135867726,40.719224435069215,-73.99627670610542
1004710052,200 GRAND STREET,C7,62.403815891331696,77255.92407346865,211.6600659547086,229.64604248010065,312.01907945665846,40.719328524771775,-73.99654346592123
1002370012,191 GRAND STREET,C7,61.71759799982017,76406.38632377738,209.33256527062295,227.12076063933824,308.58798999910084,40.719075041613216,-73.99723775776509
1002060016,182 HESTER STREET,C7,35.63183871286742,44112.216326529866,120.85538719597224,131.1251664633521,178.1591935643371,40.718095657994226,-73.99816418910227
1002060012,190 HESTER STREET,C7,30.762384993973445,38083.83262253912,104.3392674590113,113.20557677782227,153.81192496986722,40.718149727910706,-73.9984905561028
