bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh
1003100007.0,48 LUDLOW STREET,C7,6.0,1900.0,,219.5321614525817,43.90643229051634,54356.16317565923,148.92099500180612,161.57567082910015
1004140032.0,128 ELDRIDGE STREET,C6,6.0,1900.0,,154.49301933055136,30.898603866110275,38252.47158624452,104.80129201710828,113.7068622272858
1004100037.0,110 LUDLOW STREET,C7,6.0,1900.0,,136.8219682494568,27.364393649891362,33877.119338565506,92.81402558511097,100.7009686316002
1004090026.0,246 BROOME STREET,C7,6.0,1900.0,,161.48072494241543,32.296144988483086,39982.62749574206,109.54144519381387,118.84981355761775
1004130045.0,81 ORCHARD STREET,C7,6.0,1910.0,,230.61019195923308,46.122038391846615,57099.08352910611,156.43584528522223,169.72910128199555
1004080014.0,245 BROOME STREET,C7,6.0,1900.0,,131.1374435593793,26.227488711875864,32469.63102530232,88.95789322000635,96.51715845970318
1004140018.0,61 DELANCEY STREET,C7,6.0,1900.0,,165.8824901398886,33.17649802797772,41072.50455863642,112.52740974968883,122.08951274295801
1003080024.0,47 ORCHARD STREET,C7,6.0,1910.0,,139.1250615178168,27.82501230356336,34447.36523181144,94.37634310085326,102.39604527711316
1004140003.0,138 ELDRIDGE STREET,C7,6.0,1900.0,,139.79631645240528,27.959263290481058,34613.56795361555,94.83169302360425,102.89008890897028
1003090025.0,45 LUDLOW STREET,C7,6.0,1910.0,,123.19623894295194,24.63924778859039,30503.388762274903,83.57092811582164,90.67243186201263
1004080020.0,67 LUDLOW STREET,C4,6.0,1900.0,,135.94709377630969,27.18941875526194,33660.50041901428,92.2205490931898,100.05706101936394
1004130010.0,285 BROOME STREET,C7,6.0,1900.0,,201.7275601058327,40.34551202116654,49947.74388220418,136.84313392384706,148.47148423789287
1002980015.0,58 HESTER STREET,C7,6.0,1900.0,,290.60054594912054,58.12010918982411,71952.69517700226,197.1306717178144,213.88200181855274
