bbl,address,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,roof_area_m2,lat,lon
1004190063,47 DELANCEY STREET,66.63053625295646,82488.6038811601,225.996175016877,245.2003734108798,333.1526812647823,391.9443308997439,40.71931826588606,-73.99166396674431
1004150035,123 ALLEN STREET,33.888901859649074,41954.46050224555,114.94372740341247,124.7111588435086,169.44450929824535,199.34648152734746,40.71987622600682,-73.99047717936794
1004150033,125 ALLEN STREET,26.64736173028865,32989.43382209735,90.3820104714996,98.06229116746223,133.23680865144325,156.74918664875676,40.719933411162515,-73.99042379131436
1004100011,85 RIVINGTON STREET,36.8676440259214,45642.14330409069,125.04696795641286,135.67293001539073,184.33822012960698,216.86849427012586,40.72008442317037,-73.98908453823456
1004150072,127 ORCHARD STREET,53.256691527312846,65931.7841108133,180.63502496113233,195.98462482051127,266.2834576365642,313.2746560430167,40.71968822897433,-73.98970059005006
1004150032,127 ALLEN STREET,27.012036157129785,33440.900762526675,91.61890619870321,99.40429305823761,135.06018078564892,158.89433033605758,40.71999719613529,-73.99039153004708
1004150025,139 ALLEN STREET,34.64578012997366,42891.47580090739,117.51089260522573,127.49647087830306,173.22890064986828,203.79870664690387,40.720335029394555,-73.99019689095802
1004230025,111 CHRYSTIE STREET,29.704132192700197,36773.715654562846,100.7499059029119,109.31120646913672,148.52066096350097,174.73018936882468,40.718557969297535,-73.99396502448761
1004180046,111 ELDRIDGE STREET,29.320514266103913,36298.796661436645,99.44875797653876,107.89949249926241,146.60257133051957,172.47361333002303,40.71827480371715,-73.99216798648148
1004130010,285 BROOME STREET,40.34565138141541,49947.91641019227,136.8436066032665,148.4719970836087,201.72825690707703,237.32736106714944,40.718340692932536,-73.99152537352951
1004130008,289 BROOME STREET,47.62290914594925,58957.16152268517,161.52646992516486,175.25230565709325,238.11454572974623,280.1347596820544,40.71837849494569,-73.99168269977542
1004180044,291 BROOME STREET,25.69074688768866,31805.14464695856,87.13738259440701,94.54194854669427,128.4537344384433,151.12204051581563,40.71845897429063,-73.99195286029789
1004180037,305 BROOME STREET,45.995603336913206,56942.55693109855,156.00700529068095,169.26382027984062,229.97801668456603,270.5623725700777,40.718609699571395,-73.9924280193565
1004230017,327 BROOME STREET,29.365676054579936,36354.70695556996,99.60193686457524,108.06568788085416,146.82838027289966,172.73927090929374,40.719027079625945,-73.99380485267126
1004240040,334 BROOME STREET,37.86383894615455,46875.432615339334,128.4258427817516,139.33892732184876,189.31919473077275,222.72846438914442,40.719414440079696,-73.99386477299583
1004240029,135 CHRYSTIE STREET,54.4226739870608,67375.27039598126,184.58978190679798,200.27544027238372,272.113369935304,320.13337639447525,40.71962373552053,-73.99342395442484
1004240029,135 CHRYSTIE STREET,54.4226739870608,67375.27039598126,184.58978190679798,200.27544027238372,272.113369935304,320.13337639447525,40.71962373552053,-73.99342395442484
1004240029,135 CHRYSTIE STREET,54.4226739870608,67375.27039598126,184.58978190679798,200.27544027238372,272.113369935304,320.13337639447525,40.71968311083768,-73.99339312137238
1004240029,135 CHRYSTIE STREET,54.4226739870608,67375.27039598126,184.58978190679798,200.27544027238372,272.113369935304,320.13337639447525,40.71968311083768,-73.99339312137238
1004240026,9 DELANCEY STREET,24.99168020055602,30939.70008828835,84.7663016117489,91.96938313804615,124.95840100278009,147.00988353268247,40.71986061749607,-73.99332237258521
1004250041,10 DELANCEY STREET,33.96336509405675,42046.64598644225,115.19629037381438,124.98518354612882,169.81682547028373,199.784500553275,40.72037770026817,-73.99318039082124
1004250041,10 DELANCEY STREET,33.96336509405675,42046.64598644225,115.19629037381438,124.98518354612882,169.81682547028373,199.784500553275,40.72037770026817,-73.99318039082124
