healthcenterdistrict,bldgdepth,bct2020,zipcode,numbldgs,zmcode,spdist1,lottype,latitude,proxcode,xcoord,otherarea,splitzone,retailarea,healtharea,pfirm15_flag,yearbuilt,lotfront,sanitboro,cb2010,landuse,assessland,garagearea,cd,zoningdate,ltdheight,appbbl,sanborn,commfar,dcpedited,residfar,builtfar,bldgclass,bbl,yearalter2,irrlotcode,edesigdate,tract2010,council,schooldist,spdist2,easements,longitude,officearea,histdist,yearalter1,strgearea,rpaddate,lotarea,numfloors,version,ycoord,block,unitsres,lotdepth,landmkdate,facilfar,overlay1,spdist3,ownertype,zonedist4,bldgfront,sanitdistrict,exempttot,areasource,assesstot,firecomp,edesignum,lot,zonedist1,address,policeprct,ct2010,ext,borocode,notes,sanitsub,taxmap,polidate,ownername,appdate,zonemap,zonedist2,firm07_flag,condono,comarea,basempdate,plutomapid,zonedist3,overlay2,bctcb2020,factryarea,dcasdate,bldgarea,bsmtcode,unitstotal,resarea,borough,geom,masdate,landmark,geometry
14,82.0000000,1003200,10009,1,,,5,40.7237482,3,988946,0,False,0,6600,,1937,30.0800000,1,6001,2,156600.00000,0,103,,,,102 012,0.00000000000,,3.00000000000,4.46000000000,C6,1004000045,0,False,,32,2,1,,0,-73.9830581,0,,1987,0,,2900,6.0000000,25v4,202958,400,21,96.1700000,,3.00000000000,,,,,30.0000000,3,809580.00000,2,1100250.00000,E028,,45,R7B,225 EAST 4 STREET,9,32,N,1,,3Q,10203,,223-225 EAST 4TH STREET HDFC,,12c,,,,0,,1,,,10032006001,0,,12948,2,21,12948,MN,,,,
14,83.0000000,1003200,10009,1,,,5,40.7238993,3,988846,0,False,732,6600,,1900,47.7500000,1,6001,4,450000.00000,0,103,,,,102 012,0.00000000000,,3.00000000000,4.09000000000,C7,1004000050,2009,False,,32,2,1,,0,-73.9834188,0,,2012,0,,4592,6.0000000,25v4,203013,400,28,96.1700000,,3.00000000000,,,,,48.0000000,3,0.00000,2,3775050.00000,E028,,50,R7B,213 EAST 4 STREET,9,32,N,1,,3A,10203,,CACTUS 4 LLC,,12c,,,,732,,1,,,10032006001,0,,18781,2,29,18049,MN,,,,
14,55.0000000,1003200,10009,1,,,5,40.7242397,2,988623,0,False,500,6600,,1900,24.8300000,1,6001,4,225000.00000,0,103,,,,102 012,0.00000000000,,3.00000000000,3.37000000000,C7,1004000061,0,False,,32,2,1,,0,-73.9842232,0,,0,0,,2388,6.0000000,25v4,203137,400,11,96.1700000,,3.00000000000,,,,,25.0000000,3,0.00000,2,1368900.00000,E028,,61,R7B,193 EAST 4 STREET,9,32,N,1,,3A,10203,,"193 EAST 4 ST, LLC",,12c,,,,500,,1,,,10032006001,0,,8045,2,12,7545,MN,,,,
14,95.0000000,1003200,10009,1,,,5,40.7244097,3,989028,0,False,500,6600,,1900,24.5800000,1,6000,2,225000.00000,0,103,,,,102 021,0.00000000000,,3.00000000000,4.44000000000,C4,1004010047,0,False,,32,2,1,,0,-73.9827621,0,,1984,0,,2385,6.0000000,25v4,203199,401,24,97.0000000,,3.00000000000,,,,,25.0000000,3,0.00000,2,1971450.00000,E028,,47,R7B,533 EAST 5 STREET,9,32,N,1,,3A,10203,,533 EAST 5TH STREET LLC,,12c,,,,500,,1,,,10032006000,0,,10581,1,25,10081,MN,,,,
14,82.0000000,1003200,10009,1,,,5,40.7242559,2,989130,0,False,1000,6600,,1900,24.7500000,1,6000,4,540000.00000,0,103,,,,102 021,0.00000000000,,3.00000000000,4.47000000000,C7,1004010042,0,False,,32,2,1,,0,-73.9823941,0,,0,0,,2402,6.0000000,25v4,203143,401,22,97.0000000,,3.00000000000,,,,,25.0000000,3,0.00000,2,1705500.00000,E028,,42,R7B,543 EAST 5 STREET,9,32,N,1,,3A,10203,,"543 EAST 5TH STREETASSOCIATES,    .",,12c,,,,1000,,1,,,10032006000,0,,10728,2,24,9728,MN,,,,
14,62.0000000,1003200,10009,1,,,5,40.7278025,3,988559,0,False,2066,6600,,1929,41.7500000,1,1000,4,252000.00000,0,103,,,,102 020,0.00000000000,,4.00000000000,3.96000000000,C7,1004360009,0,False,,32,2,1,,0,-73.9844533,0,,0,0,,3131,6.0000000,25v4,204435,436,22,75.0000000,,4.00000000000,,,,,42.0000000,3,0.00000,2,1540800.00000,L011,,9,R8B,406 EAST 9 STREET,9,32,N,1,,4A,10205,,NEIN E LLC,,12c,,,,2066,,1,,,10032001000,0,,12396,2,25,10330,MN,,,,
14,80.0000000,1003200,10009,1,,,5,40.7272205,3,988718,0,False,1731,6600,,1920,25.0000000,1,1000,4,567000.00000,0,103,,,,102 020,0.00000000000,,4.00000000000,4.42000000000,C7,1004360042,0,False,,32,2,1,,0,-73.9838798,0,,1985,0,,2348,6.0000000,25v4,204223,436,25,93.9200000,,4.00000000000,,,,,25.0000000,3,0.00000,2,2938500.00000,L011,,42,R8B,109 ST MARKS PLACE,9,32,N,1,,4A,10205,,BENCHMARK 109 LLC,,12c,,,,1731,,1,,,10032001000,0,,10386,2,26,8655,MN,,,,
14,55.0000000,1003200,10009,1,,,3,40.7269075,3,988911,0,False,4468,6600,,1920,80.5000000,1,1000,4,486000.00000,0,103,,,,102 020,0.00000000000,,4.00000000000,5.02000000000,C7,1004360034,0,True,,32,2,1,,0,-73.9831835,0,,0,0,,4427,6.0000000,25v4,204109,436,30,55.0000000,,4.00000000000,C1-5,,,,81.0000000,3,0.00000,2,3356550.00000,L011,,34,R7A,131 AVENUE A,9,32,N,1,,4A,10205,,"AVENUE A SCHNEIDER PARTNERS, LLC",,12c,,,,4468,,1,,,10032001000,0,,22216,2,35,17748,MN,,,,
14,94.0000000,1003200,10009,1,,,5,40.7269351,2,988589,0,False,3294,6600,,1920,38.7500000,1,1001,4,373500.00000,0,103,,,,102 020,0.00000000000,,4.00000000000,4.29000000000,C7,1004350019,0,True,,32,2,1,,0,-73.9843453,0,,1986,0,,3720,6.0000000,25v4,204119,435,22,112.0000000,,4.00000000000,,,,,39.0000000,3,0.00000,2,2973600.00000,L011,,19,R8B,110 ST MARKS PLACE,9,32,N,1,,4A,10205,,"110-112 ST. MARKS ASSOCIATES, L.P.",,12c,,,,3294,,1,,,10032001001,0,,15949,2,24,12655,MN,,,,
14,84.0000000,1003200,10009,1,,,5,40.7267731,3,988704,0,False,2437,6600,,1920,38.6700000,1,1001,4,684000.00000,0,103,,,,102 020,0.00000000000,,4.00000000000,3.88000000000,C7,1004350025,0,False,,32,2,1,,0,-73.9839304,0,,1984,0,,3770,6.0000000,25v4,204060,435,22,97.5000000,,4.00000000000,,,,,39.0000000,3,0.00000,2,2639250.00000,L011,,25,R8B,122 ST MARKS PLACE,9,32,N,1,,4A,10205,,"122-126 ST. MARKS PLACE ASSOCIATES, LLC",,12c,,,,2437,,1,,,10032001001,0,,14623,2,24,12186,MN,,,,
