bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh
1004140003,138 ELDRIDGE STREET,C7,6.0,1900,164.46625464988855,139.79631645240528,27.959263290481058,34613.56795361555,94.83169302360425,102.89008890897028
1004140018,61 DELANCEY STREET,C7,6.0,1900,195.15587075281013,165.8824901398886,33.17649802797772,41072.50455863642,112.52740974968883,122.08951274295801
1004140005,55 DELANCEY STREET,C7,6.0,1900,335.31298527023637,285.0160374797009,57.00320749594019,70569.97087997396,193.3423859725314,209.7718035850599
1004100025,109 LUDLOW STREET,C7,6.0,1920,238.59350872450185,202.80448241582656,40.560896483165315,50214.38984615866,137.57367081139358,149.26409905804834
1004100002,122 ORCHARD STREET,C7,6.0,1910,195.66677190995057,166.316756123458,33.2633512246916,41180.0288161682,112.8219967566252,122.40913250686506
1004100022,117 LUDLOW STREET,C7,6.0,1900,130.6963498603367,111.0918973812862,22.21837947625724,27506.353791606463,75.35987340166155,81.76363647262664
1004190066,135 ELDRIDGE STREET,C7,6.0,1900,308.7493222486893,262.43692391138586,52.487384782277175,64979.382360459145,178.02570509714835,193.15357599877998
1004190065,139 ELDRIDGE STREET,C7,6.0,1900,169.59166053559483,144.1529114552556,28.830582291051122,35692.26087632129,97.7870160995104,106.09654283106813
1004190063,47 DELANCEY STREET,C7,6.0,1920,391.9429767984269,333.15153027866285,66.63030605573258,82488.31889699693,225.99539423834776,245.19952628509589
1004150035,123 ALLEN STREET,C7,6.0,1900,199.34579237905533,169.44392352219703,33.88878470443941,41954.31546409599,114.94333003861915,124.71072771233702
1004150033,125 ALLEN STREET,C7,6.0,1900,156.74864475589288,133.23634804250895,26.64726960850179,32989.31977532522,90.38169801458963,98.06195215928659
1004100011,85 RIVINGTON STREET,C7,6.0,1920,216.8677441523352,184.33758252948493,36.86751650589699,45641.98543430047,125.04653543643964,135.67246074170092
1004150072,127 ORCHARD STREET,C7,6.0,1920,313.27357282076025,266.2825368976462,53.25650737952924,65931.5561358572,180.6344003722115,195.9839471566676
1004150032,127 ALLEN STREET,C7,6.0,1910,158.89378102229492,135.05971386895067,27.011942773790135,33440.78515395219,91.61858946288271,99.4039494075477
1004150025,139 ALLEN STREET,C7,6.0,1910,203.79800196114996,173.22830166697747,34.6456603333955,42891.32749274363,117.51048628148939,127.49603002689543
1003530020,121 RIVINGTON STREET,C7,6.0,1920,303.2951449518874,257.8008732091043,51.56017464182086,63831.49620657422,174.8808115248609,189.74144268190076
1004100037,110 LUDLOW STREET,C7,6.0,1900,160.9670214699492,136.82196824945683,27.36439364989137,33877.11933856551,92.814025585111,100.70096863160023
1004100043,122 LUDLOW STREET,C7,6.0,1920,154.35526176227663,131.20197249793512,26.240394499587026,32485.60839048874,89.00166682325681,96.56465175848025
1004100044,124 LUDLOW STREET,C7,6.0,1900,152.80556212785214,129.8847278086743,25.976945561734865,32159.458605427764,88.10810576829525,95.5951596671843
1004100018,123 LUDLOW STREET,C7,6.0,1900,234.48869099929684,199.3153873494023,39.863077469880466,49350.48990771201,135.20682166496442,146.69612508916012
1004100046,101 RIVINGTON STREET,C7,6.0,1910,289.64297015924467,246.19652463535797,49.2393049270716,60958.259499714644,167.0089301362045,181.20064213162348
1003540034,126 RIVINGTON STREET,C7,6.0,1900,144.95866408648362,123.21486447351107,24.642972894702215,30508.000443641344,83.58356285929135,90.68614025250415
1004110075,100 RIVINGTON STREET,C7,6.0,1900,316.1225580482688,268.7041743410285,53.740834868205695,66531.15356683865,182.27713305983193,197.76627231499697
1004110034,94 RIVINGTON STREET,C7,6.0,1920,250.4217161195189,212.85845870159105,42.571691740318215,52703.75437451395,144.39384760140808,156.66382560437103
1004110042,138 LUDLOW STREET,C7,6.0,1920,280.9646675034817,238.81996737795941,47.76399347559189,59131.82392278276,162.00499704871987,175.77149599017815
1004110039,86 RIVINGTON STREET,C7,6.0,1920,167.71505383367662,142.55779575862513,28.511559151725027,35297.31022983558,96.70495953379611,104.92253767834809
1004160069,78 RIVINGTON STREET,C7,6.0,1920,253.18357958985746,215.20604265137882,43.04120853027577,53285.0161604814,145.98634564515453,158.39164739141484
1004160068,145 ORCHARD STREET,C7,6.0,1900,181.42321949078448,154.2097365671668,30.841947313433362,38182.3307740305,104.60912540830275,113.49836611343477
1004160067,147 ORCHARD STREET,C7,6.0,1900,176.86832129284528,150.33807309891847,30.067614619783697,37223.706899292214,101.98275862819784,110.648821800804
1004160066,149 ORCHARD STREET,C7,6.0,1900,185.40943795984816,157.59802226587092,31.519604453174185,39021.27031302964,106.90758989871135,115.992144387681
1004160065,151 ORCHARD STREET,C7,6.0,1900,168.7555950486145,143.44225579132234,28.68845115826447,35516.30253393141,97.30493844912715,105.57350026241325
1004160064,153 ORCHARD STREET,C7,6.0,1900,176.2975721498245,149.85293632735082,29.970587265470165,37103.58703465207,101.6536631086358,110.2917611369302
1004110027,143 LUDLOW STREET,C7,6.0,1920,193.12820083993662,164.15897071394613,32.83179414278923,40645.76114877306,111.35824972266592,120.82100244546434
1004110003,150 ORCHARD STREET,C7,6.0,1920,211.447436508466,179.73032103219612,35.946064206439225,44501.22748757176,121.92117119882674,132.28151627969635
1004110005,154 ORCHARD STREET,C7,6.0,1920,182.21169120117798,154.8799375210013,30.975987504200262,38348.27253019992,105.06376035671212,113.99163401545695
1004110005,154 ORCHARD STREET,C7,6.0,1920,182.21169120117798,154.8799375210013,30.975987504200262,38348.27253019992,105.06376035671212,113.99163401545695
1004110021,153 LUDLOW STREET,C7,6.0,1900,153.50406487464903,130.47845514345167,26.095691028690336,32306.465493518637,88.51086436580448,96.03214298558044
1004110009,162 ORCHARD STREET,C7,6.0,1930,146.20566177206362,124.27481250625408,24.854962501250817,30770.44357654851,84.30258514122879,91.46626200460301
1004260044,8 RIVINGTON STREET,C7,6.0,1920,223.46031769593574,189.94127004154538,37.98825400830908,47029.45846228664,128.84783140352505,139.7967747505774
1004260002,217 BOWERY,C7,6.0,1900,211.94397353223215,180.15237750239731,36.03047550047946,44605.728669593576,122.2074758071057,132.5921498417644
1004920007,202 ELIZABETH STREET,C7,6.0,1900,224.535871903029,190.85549111757464,38.17109822351493,47255.81960071148,129.46799890605885,140.46964146253495
1004930009,228 MOTT STREET,C4,6.0,1900,156.36114824956712,132.90697601213205,26.58139520242641,32907.7672606039,90.15826646740794,97.8195343449292
1004930010,230 MOTT STREET,C7,6.0,1900,147.3854093285693,125.2775979292839,25.055519585856782,31018.733247290696,84.98283081449506,92.20431207595296
1004930012,234 MOTT STREET,C4,6.0,1900,146.7179258686604,124.71023698836133,24.94204739767227,30878.25467831827,84.59795802278978,91.78673442343394
1004930017,20 PRINCE STREET,C7,6.0,1900,381.3268828266051,324.1278504026143,64.82557008052287,80254.05575968731,219.87412536900632,238.55809789632414
1005070001,13 PRINCE STREET,C7,6.0,1910,228.29361707281942,194.0495745118965,38.809914902379305,48046.67464914558,131.63472506615227,142.82048684075582
1004260022,13 STANTON STREET,C7,6.0,1920,116.2647923346314,98.82507348443669,19.765014696887338,24469.088194746524,67.0385977938261,72.7352540845454
1004930013,30 PRINCE STREET,C7,6.0,1900,232.13363073479425,197.3135861245751,39.462717224915025,48854.8439244448,133.84888746423232,145.2227993876873
1005080046,17 PRINCE STREET,C7,6.0,1914,125.0878286187795,106.32465432596257,21.264930865192515,26325.984411108333,72.12598468796804,78.25494558390845
1002920010,28 FORSYTH STREET,C7,6.0,1900,213.29420572533257,181.3000748665327,36.26001497330654,44889.89853695349,122.98602338891368,133.43685510176806
1003030020,122 HESTER STREET,C7,6.0,1910,196.63128682244258,167.1365937990762,33.42731875981524,41383.02062465127,113.3781386976747,123.01253303612009
1003040035,75 CHRYSTIE STREET,C7,6.0,1910,418.7324505883013,355.9225830000561,71.18451660001122,88126.4315508139,241.44227822140795,261.95902108804125
1003040031,83 CHRYSTIE STREET,C7,6.0,1910,298.4891033503795,253.71573784782254,50.74314756956451,62820.016691120865,172.10963477019416,186.7347830559974
1002050004,106 MULBERRY STREET,C7,6.0,1915,311.77988965069096,265.0129062030873,53.00258124061747,65617.19557588443,179.77313856406693,195.04949896547225
1002060004,119 BAXTER STREET,C7,6.0,1910,188.6564456829873,160.35797883053922,32.07159576610785,39704.635558441514,108.77982344778496,118.02347241927687
1002050023,111 MOTT STREET,C7,6.0,1900,161.0008766617583,136.85074516249455,27.37014903249891,33884.244502233654,92.83354658146207,100.722148439596
1002060004,119 BAXTER STREET,C7,6.0,1910,188.6564456829873,160.35797883053922,32.07159576610785,39704.635558441514,108.77982344778496,118.02347241927687
1002050018,174 HESTER STREET,C7,6.0,1910,162.2761939876932,137.93476488953922,27.586952977907846,34152.64778664991,93.5688980456162,101.51998695870087
1002030015,58 ELIZABETH STREET,C7,6.0,1900,342.5665142706617,291.18153713006245,58.236307426012495,72096.54859340347,197.52479066685882,214.30961132772597
1002030015,58 ELIZABETH STREET,C7,6.0,1900,342.5665142706617,291.18153713006245,58.236307426012495,72096.54859340347,197.52479066685882,214.30961132772597
1003040030,85 CHRYSTIE STREET,C7,6.0,1910,174.19181086857668,148.06303923829017,29.612607847658037,36660.408515400646,100.4394753846593,108.97439687938157
1003040029,87 CHRYSTIE STREET,CB,6.0,1900,162.37569249691285,138.01933862237593,27.603867724475187,34173.58824290028,93.6262691586309,101.5822332260687
1002390008,84 ELIZABETH STREET,C7,6.0,1910,159.64956213763188,135.7021278169871,27.140425563397418,33599.846847486006,92.0543749246192,99.87676607330249
1002390010,88 ELIZABETH STREET,C7,6.0,1910,153.95042197393903,130.85785867784818,26.17157173556964,32400.405808635212,88.76823509215127,96.31138398689626
1002380004,124 MOTT STREET,C7,6.0,1912,300.0728072287977,255.06188614447805,51.012377228895616,63153.323009372776,173.02280276540486,187.72554820233586
1002380027,83 ELIZABETH STREET,C7,6.0,1900,318.5613734999382,270.7771674749475,54.155433494989495,67044.426666797,183.68336073095065,199.29199526156134
1002380027,83 ELIZABETH STREET,C7,6.0,1900,318.5613734999382,270.7771674749475,54.155433494989495,67044.426666797,183.68336073095065,199.29199526156134
1002380023,91 ELIZABETH STREET,C7,6.0,1910,225.17294226356447,191.39700092402978,38.27940018480596,47389.89742878977,129.83533542134185,140.8681926800859
1002380021,95 ELIZABETH STREET,C7,6.0,1910,228.3782724826379,194.12153161024222,38.82430632204844,48064.49122669597,131.68353760738623,142.87344726513828
1002380014,209 GRAND STREET,C7,6.0,1900,267.58583307154976,227.4479581108173,45.48959162216346,56316.11442823836,154.290724460927,167.40169716956154
1002390011,90 ELIZABETH STREET,C7,6.0,1900,165.84758559255954,140.97044775367561,28.194089550735125,34904.282863810084,95.62817222961667,103.75424954670525
1002390012,92 ELIZABETH STREET,C7,6.0,1912,572.7186358171667,486.8108404445917,97.36216808891834,120534.3640940809,330.23113450433124,358.2927785672195
1004700031,208 GRAND STREET,C7,6.0,1920,151.3005469759983,128.60546492959855,25.72109298591971,31842.7131165686,87.24030990840713,94.65362218818454
1004700032,206 GRAND STREET,C7,6.0,1909,185.18017806903208,157.40315135867726,31.480630271735453,38973.02027640849,106.7753980175575,115.84871939998646
