name,base_bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,bbl,address,bldgclass,numfloors,yearbuilt,lon,lat
,1003850024,720.95703125,1920,17,1003850024,549394,2100,121.71834153260333,27.33,Constructed,1004593,2017-08-22 17:56:37+00:00,Photogrammetric,541174,413.69,351.64,70.33,87065.0,238.5,3.39,1003850050.0,240 EAST 2 STREET,,,,-73.98170459860043,40.721880611389984
,1003500065,208.3125,1910,22,1003500065,4311,2100,61.509618453405281,55.8,Constructed,1004275,2017-08-22 18:36:33+00:00,Photogrammetric,367767,119.54,101.61,20.32,25157.0,68.9,3.39,1003500057.0,309 EAST HOUSTON STREET,,,,-73.98340553581504,40.720837246858665
,1003720009,335.69921875,1900,17,1003720009,482912,2100,90.941137157350681,50.12,Constructed,1004354,2017-08-22 19:12:50+00:00,Photogrammetric,684033,192.63,163.73,32.75,40540.0,111.1,3.39,1003720068.0,264 EAST 2 STREET,,,,-73.98053181709773,40.721422483172255
,1003840006,197.37890625,1900,21,1003840006,839917,2100,64.326739079666226,56.17,Constructed,1004567,2017-08-22 18:09:11+00:00,Photogrammetric,703604,113.26,96.27,19.25,23836.0,65.3,3.39,1003970033.0,14 AVENUE B,,,,-73.98342331691379,40.7217020303337
,1003440072,415.51953125,1920,17,1003440072,341345,2100,105.37274296006527,72.07,Constructed,1004106,2017-08-22 19:36:44+00:00,Photogrammetric,639604,238.45,202.68,40.54,50185.0,137.5,3.39,1003440072.0,206 RIVINGTON STREET,C7,6.0,1920.0,-73.98282116737515,40.71859369942779
STANTON ST HOUSE,1003400001,163.7109375,1900,18,1003400001,1044546,2100,48.714405136748532,12.03,Constructed,1081933,2020-07-02 19:46:01+00:00,Photogrammetric,250164,93.95,79.86,15.97,19772.0,54.2,3.39,,,,,,-73.98177570553003,40.71953791721186
,1003450018,310.6875,1920,19,1003450018,592868,2100,83.138682056177274,58.45,Constructed,1004140,2017-08-22 17:56:05+00:00,Photogrammetric,119075,178.28,151.54,30.31,37520.0,102.8,3.39,1003450018.0,333 EAST HOUSTON STREET,C7,6.0,1920.0,-73.98242548343427,40.72075497431559
,1003850038,426.32421875,1900,16,1003850038,885267,2100,86.357879341061121,68.3,Constructed,1004599,2017-08-22 19:27:04+00:00,Photogrammetric,345074,244.63,207.94,41.59,51485.0,141.1,3.39,1003850038.0,21 AVENUE C,C4,6.0,1900.0,-73.98107667834377,40.7213830105507
,1003500056,171.04296875,1920,22,1003500056,994056,2100,59.866218413301176,55.14,Constructed,1004268,2017-08-22 19:02:11+00:00,Photogrammetric,373487,98.15,83.43,16.69,20656.0,56.6,3.39,1003500057.0,309 EAST HOUSTON STREET,,,,-73.98360238997864,40.72115223270103
,1003440152,185.0390625,1910,24,1003440152,912570,2100,56.6926656016849,56.48,Constructed,1079031,2017-08-22 17:53:13+00:00,Photogrammetric,337343,106.19,90.26,18.05,22348.0,61.2,3.39,1003440154.0,141 ATTORNEY STREET,,,,-73.98415002080223,40.71984934160184
