name,bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,address,bldgclass,roof_area_m2_actual,numfloors,yearbuilt,lon,lat
,1003760019.0,293.25390625,1900,30,1002770030,834544,2100,97.77571059046015,72.08,Constructed,1003342,2017-08-22 19:31:40+00:00,Photogrammetric,95025,39.12368717602602,48435.12472392022,97.04658490829823,143.97516880777576,195.6184358801301,254 EAST 7 STREET,C6,,6.0,1910.0,-73.9951713472963,40.71277404135552
,1003780009.0,278.0703125,1900,31,1002770029,440613,2100,91.469207417755172,66.33,Constructed,1003341,2017-08-22 17:33:53+00:00,Photogrammetric,114151,42.16644589412908,52202.060016931806,92.02416720988307,155.17252089039502,210.83222947064544,140 AVENUE C,C7,,6.0,1920.0,-73.99507102636797,40.71278213011105
,1003750042.0,514.57421875,1920,33,1002750020,622553,2100,92.7972031181805,71.12,Constructed,1003280,2017-08-22 17:30:02+00:00,Photogrammetric,546055,29.274692032018123,36242.06873563844,170.29644645374066,107.73086667782668,146.37346016009062,63 AVENUE D,C7,,6.0,1900.0,-73.99419530756417,40.712844079091376
,1003780039.0,273.34765625,1920,24,1002730019,297423,2100,90.009630102894334,65.25,Constructed,1003252,2017-08-22 17:35:41+00:00,Photogrammetric,735802,33.054731681603435,40921.75782182506,90.46337583594268,121.64141258830064,165.27365840801716,115 AVENUE D,C7,,6.0,1900.0,-73.99051106511229,40.712832185216314
,1003770016.0,257.52734375,1920,38,1002820007,572203,2100,88.10924721706219,65.41,Constructed,1003530,2017-08-22 19:08:42+00:00,Photogrammetric,402320,50.74705011520802,62824.84804262753,85.22726685898141,186.7491444239655,253.73525057604007,368 EAST 8 STREET,C6,,6.0,1923.0,-73.99348547416662,40.713297681285646
,1003780004.0,299.83203125,1920,36,1002820011,723391,2100,94.690173476984981,68.33,Constructed,1003531,2017-08-22 19:05:28+00:00,Photogrammetric,96855,63.83309489229265,79025.3714766583,99.22315046002605,234.9057892036369,319.16547446146325,134 AVENUE C,C7,,6.0,1900.0,-73.9931254946597,40.71334685046715
,1003760041.0,499.35546875,1910,35,1002830049,994871,2100,110.8687936997605,66.28,Constructed,1003582,2017-08-22 19:24:25+00:00,Photogrammetric,46550,50.98842964091478,63123.6758954525,165.2595008831245,187.6374210785664,254.9421482045739,745 EAST 6 STREET,C4,,6.0,1900.0,-73.99214614310421,40.71336395453335
,1003780004.0,230.58203125,1920,34,1002830010,42670,2100,73.701404141182138,61.22,Constructed,1003560,2017-08-22 18:32:45+00:00,Photogrammetric,569871,63.83309489229265,79025.3714766583,76.31128161629914,234.9057892036369,319.16547446146325,134 AVENUE C,C7,,,,-73.99130310629768,40.71345738879907
,1003790037.0,281.30078125,1900,36,1002830006,576621,2100,99.9105031445439,65.83,Constructed,1003556,2017-08-22 19:08:01+00:00,Photogrammetric,212003,35.92258967226273,44472.16601426126,93.09094610116269,132.19512999392686,179.61294836131364,133 AVENUE D,C7,,6.0,1930.0,-73.99167469167944,40.71346431013378
,1003760030.0,305.18359375,1920,38,1002820030,809965,2100,96.997910726759841,72.14,Constructed,1003540,2017-08-22 17:31:34+00:00,Photogrammetric,543632,32.02744260136949,39649.97394049543,100.99913362479865,117.86098877303974,160.13721300684745,274 EAST 7 STREET,C4,,6.0,1910.0,-73.99352326911935,40.71355682284972
,1003790012.0,407.27734375,1920,38,1002820027,242147,2100,100.02314625316774,60.73,Constructed,1003537,2017-08-22 17:49:27+00:00,Photogrammetric,211521,36.6898536547479,45422.0388245779,134.78362952116095,135.01866144947226,183.4492682737395,406 EAST 10 STREET,C6,,6.0,1930.0,-73.9932524643899,40.71356214582808
,1005020012.0,306.58203125,1920,38,1002820028,598638,2100,100.67250856038146,62.25,Constructed,1003538,2017-08-22 17:55:52+00:00,Photogrammetric,3153,29.541691183060006,36572.61368462829,101.4590982037365,108.71342355366085,147.70845591530002,110 THOMPSON STREET,C6,,6.0,1900.0,-73.99334481447418,40.713568346505646
,1005010004.0,233.2578125,1900,38,1002830040,655193,2100,85.593431283884541,67.34,Constructed,1003577,2017-08-22 18:45:22+00:00,Photogrammetric,247586,37.3943671481333,46294.22652938902,77.19624833195593,137.61127110513053,186.97183574066648,419 WEST BROADWAY,C6,,6.0,1884.0,-73.99188111366645,40.71370496156649
,1005020023.0,280.26171875,1900,28,1002770043,662539,2100,94.450765026183362,67.04,Constructed,1003349,2017-08-22 18:10:17+00:00,Photogrammetric,695877,56.31061395680078,69712.54007851936,92.75066319159328,207.22305936102688,281.55306978400387,152 PRINCE STREET,C7,,6.0,1907.0,-73.99636027641392,40.71267193198741
,1005160002.0,308.5234375,1910,28,1002770042,528165,2100,96.139270267488968,68.59,Constructed,1084610,2017-08-22 17:56:50+00:00,Photogrammetric,802263,39.17595006259264,48499.82617748969,102.10500842169641,144.1674962303409,195.8797503129632,128 THOMPSON STREET,C7,,6.0,1904.0,-73.996261870251,40.71267756834409
,1005020016.0,294.77734375,1900,28,1002790053,960063,2100,92.572807741961768,69.69,Constructed,1003376,2017-08-22 17:39:21+00:00,Photogrammetric,500859,54.03315524275588,66893.04619053178,97.55495708879226,198.84201129334164,270.1657762137794,160 PRINCE STREET,C7,,6.0,1904.0,-73.99738976889155,40.71289373194717
,1005030021.0,332.015625,1900,26,1002800055,963139,2100,97.747816030413986,73.91,Constructed,1003431,2017-08-22 19:25:10+00:00,Photogrammetric,695519,54.03315524275588,66893.04619053178,109.87995896864904,198.84201129334164,270.1657762137794,115 THOMPSON STREET,C7,,6.0,1903.0,-73.99690474681043,40.71294047061646
,1005160001.0,259.3515625,1900,30,1002800002,918975,2100,87.693175068615645,69.15,Constructed,1003398,2017-08-22 17:53:03+00:00,Photogrammetric,745441,54.06287681537332,66929.84149743218,85.83178698238305,198.95138668057385,270.3143840768666,163 PRINCE STREET,C6,,6.0,1902.0,-73.99658749017102,40.71303882596783
,1004090031.0,283.9921875,1900,31,1002800007,677886,2100,101.44805461184295,66.68,Constructed,1003404,2017-08-22 17:54:55+00:00,Photogrammetric,824762,29.95402692180096,37083.085329189584,93.98822805639799,110.23081907222752,149.77013460900477,252 BROOME STREET,C7,,6.0,1890.0,-73.99614246836799,40.71308832246634
,1003090024.0,635.58984375,1900,30,1002800052,445408,2100,143.65734450667122,61.91,Constructed,1003429,2017-08-22 18:34:17+00:00,Photogrammetric,681728,25.61190905959224,31707.54341577519,210.34160959079844,94.25182533929944,128.0595452979612,47 LUDLOW STREET,C7,,6.0,1900.0,-73.99695404570792,40.71311085781202
,1004130049.0,244.65234375,1900,35,1002810011,854522,2100,81.473906933118485,68.83,Constructed,1003487,2017-08-22 17:53:59+00:00,Photogrammetric,547274,46.4285051416114,57478.489365314905,80.9650680458461,170.85689892112993,232.14252570805695,75 ORCHARD STREET,C7,,6.0,1910.0,-73.99676147354334,40.713709969150266
,1003100040.0,209.0703125,1900,37,1002810015,437067,2100,62.0416001679645,63.73,Constructed,1003491,2017-08-22 18:52:39+00:00,Photogrammetric,617262,47.57284406505182,58895.18095253415,69.19202213624214,175.0680661593907,237.86422032525908,61 HESTER STREET,C7,,6.0,1915.0,-73.99639994643961,40.71372583049163
