bbl,address,bldgclass,numfloors,unitsres,yearbuilt,latitude,longitude
1004540050.00000000,339 EAST 12 STREET,C1,6.0000000,37,1900,40.7305032,-73.9840991
1004540056.00000000,329 EAST 12 STREET,C1,6.0000000,24,1900,40.7306625,-73.9844743
1004540057.00000000,327 EAST 12 STREET,C7,6.0000000,22,1900,40.7306982,-73.9845573
1004540032.00000000,346 EAST 13 STREET,C1,6.0000000,24,1920,40.7307338,-73.9838465
1004550050.00000000,329 EAST 13 STREET,C1,6.0000000,24,1910,40.7312800,-73.9839546
1004550042.00000000,219 1 AVENUE,C7,6.0000000,9,1910,40.7308545,-73.9832511
1004510021.00000000,220 EAST 10 STREET,C6,6.0000000,9,1900,40.7291146,-73.9858024
1004520019.00000000,322 EAST 11 STREET,C6,6.0000000,24,1900,40.7296827,-73.9852863
1004510044.00000000,335 EAST 9 STREET,C7,6.0000000,8,1900,40.7287193,-73.9855788
1004510045.00000000,333 EAST 9 STREET,CB,6.0000000,9,1900,40.7287523,-73.9856582
1004540004.00000000,198 2 AVENUE,C7,6.0000000,33,1920,40.7311347,-73.9853943
1004680027.00000000,236 EAST 13 STREET,C7,6.0000000,84,1900,40.7317634,-73.9862889
1004690040.00000000,245 EAST 13 STREET,C7,6.0000000,24,1920,40.7320927,-73.9858775
1004690042.00000000,243 EAST 13 STREET,C7,6.0000000,18,1920,40.7321394,-73.9859822
1004690043.00000000,241 EAST 13 STREET,C1,6.0000000,23,1900,40.7321751,-73.9860688
1004690044.00000000,239 EAST 13 STREET,C4,6.0000000,24,1920,40.7322107,-73.9861517
1004680045.00000000,233 EAST 12 STREET,C5,6.0000000,22,1930,40.7314724,-73.9863936
1004690047.00000000,231 EAST 13 STREET,C4,6.0000000,26,1920,40.7322959,-73.9863574
1003920048.00000000,627 EAST 9 STREET,C1,6.0000000,35,1900,40.7259571,-73.9790275
1003920036.00000000,149 AVENUE C,C6,6.0000000,9,1900,40.7256001,-73.9780788
1003930023.00000000,632 EAST 11 STREET,C7,6.0000000,33,1900,40.7266871,-73.9781867
1003930047.00000000,377 EAST 10 STREET,C4,6.0000000,12,1900,40.7264703,-73.9783960
1003930018.00000000,622 EAST 11 STREET,C1,6.0000000,26,1900,40.7268710,-73.9786195
1003950001.00000000,195 AVENUE B,C7,6.0000000,16,1910,40.7281364,-73.9786697
1004500016.00000000,324 EAST 9 STREET,C7,6.0000000,22,1910,40.7285877,-73.9863690
1003760005.00000000,98 AVENUE C,C6,6.0000000,22,1900,40.7237366,-73.9787829
1003790037.00000000,133 AVENUE D,C7,6.0000000,20,1930,40.7245786,-73.9757160
1004690046.00000000,235 EAST 13 STREET,C4,6.0000000,23,1920,40.7322492,-73.9862492
