bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,lon,lat
,,,,,883.31,750.82,150.16,185902.0,509.3,3.39,-73.9773092076673,40.721061468112296
,,,,,256.3,217.85,43.57,53940.0,147.8,3.39,-73.98588200994887,40.73208733787683
,,,,,115.47,98.15,19.63,24303.0,66.6,3.39,-73.9837213667947,40.7320961062907
,,,,,262.87,223.44,44.69,55325.0,151.6,3.39,-73.98626980354679,40.73179043626116
,,,,,154.9,131.67,26.33,32600.0,89.3,3.39,-73.98544936659113,40.73212722568843
,,,,,152.4,129.54,25.91,32073.0,87.9,3.39,-73.98378566588548,40.732139246160415
,,,,,129.65,110.2,22.04,27286.0,74.8,3.39,-73.98394167240032,40.73218915765213
,,,,,118.14,100.42,20.08,24865.0,68.1,3.39,-73.98549403369898,40.732064559734056
,,,,,159.34,135.44,27.09,33535.0,91.9,3.39,-73.98607721019359,40.73216284141327
,,,,,157.16,133.58,26.72,33076.0,90.6,3.39,-73.98486503857423,40.73208110571418
,,,,,133.43,113.41,22.68,28081.0,76.9,3.39,-73.98364868860875,40.732065277846694
,,,,,240.32,204.27,40.85,50578.0,138.6,3.39,-73.98584315782873,40.73169759192624
,,,,,141.28,120.09,24.02,29735.0,81.5,3.39,-73.9859907687916,40.73144214992723
,,,,,136.76,116.25,23.25,28783.0,78.9,3.39,-73.98649639551485,40.73189284105424
,,,,,271.82,231.05,46.21,57207.0,156.7,3.39,-73.9861339889196,40.73173452114229
,,,,,116.33,98.88,19.78,24482.0,67.1,3.39,-73.9842067072067,40.731785378097015
,,,,,267.12,227.05,45.41,56217.0,154.0,3.39,-73.98390432031704,40.731623499926506
,,,,,169.48,144.06,28.81,35669.0,97.7,3.39,-73.98563960325959,40.73187933073246
,,,,,1897.57,1612.93,322.59,399362.0,1094.1,3.39,-73.98460081371569,40.73188331853279
,,,,,176.96,150.42,30.08,37243.0,102.0,3.39,-73.98559323814914,40.731945055352035
,,,,,131.09,111.42,22.28,27589.0,75.6,3.39,-73.98377905065337,40.73160334926553
,,,,,153.18,130.2,26.04,32238.0,88.3,3.39,-73.9840775466612,40.73170265716044
,,,,,1280.65,1088.55,217.71,269525.0,738.4,3.39,-73.98491150569303,40.73168891986255
,,,,,206.23,175.29,35.06,43403.0,118.9,3.39,-73.9859902840619,40.73212848214953
,,,,,97.39,82.78,16.56,20497.0,56.2,3.39,-73.98412411138374,40.73176975855359
,,,,,82.04,69.73,13.95,17265.0,47.3,3.39,-73.98583134811813,40.731996621618975
,,,,,143.92,122.33,24.47,30289.0,83.0,3.39,-73.98556101784463,40.73201260563714
,,,,,145.84,123.96,24.79,30694.0,84.1,3.39,-73.98385904809903,40.73217148386534
,,,,,258.87,220.04,44.01,54482.0,149.3,3.39,-73.98640136577905,40.731845610298315
,,,,,43.16,36.69,7.34,9084.0,24.9,3.39,-73.98579292125774,40.731949203662154
,,,,,457.45,388.83,77.77,96274.0,263.8,3.39,-73.98355988698334,40.72058848474472
,,,,,235.54,200.21,40.04,49572.0,135.8,3.39,-73.98287502692432,40.72016050692893
,,,,,394.15,335.02,67.0,82952.0,227.3,3.39,-73.98382384221274,40.721849701391506
,,,,,143.98,122.39,24.48,30303.0,83.0,3.39,-73.98096170969266,40.72153081781094
,,,,,134.25,114.11,22.82,28254.0,77.4,3.39,-73.98318168304839,40.72169677611208
,,,,,71.81,61.04,12.21,15114.0,41.4,3.39,-73.98078713975046,40.72115638930581
,,,,,141.33,120.13,24.03,29744.0,81.5,3.39,-73.98344889010357,40.72008772082654
,,,,,180.46,153.39,30.68,37981.0,104.1,3.39,-73.98386056103763,40.720274134720114
,,,,,86.96,73.92,14.78,18302.0,50.1,3.39,-73.98407625827888,40.71999275523084
,,,,,183.35,155.85,31.17,38588.0,105.7,3.39,-73.9818716839061,40.72159988658217
,,,,,172.63,146.74,29.35,36333.0,99.5,3.39,-73.98219500565838,40.72170920525183
,,,,,604.62,513.92,102.78,127247.0,348.6,3.39,-73.98266451019201,40.72050143706492
,,,,,208.45,177.18,35.44,43869.0,120.2,3.39,-73.9830338299548,40.72073304655744
,,,,,250.21,212.68,42.54,52659.0,144.3,3.39,-73.98291698349892,40.71909760471395
,,,,,95.1,80.84,16.17,20015.0,54.8,3.39,-73.98129401198774,40.72048329749543
,,,,,156.97,133.42,26.68,33036.0,90.5,3.39,-73.98212520067587,40.72166974968854
,,,,,117.86,100.18,20.04,24805.0,68.0,3.39,-73.98381881463226,40.720186828237715
,,,,,335.04,284.78,56.96,70513.0,193.2,3.39,-73.98355385447364,40.71976295187239
