name,base_bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,bbl,address,bldgclass,numfloors,yearbuilt,zoning_dist,commercial_overlay,special_purpose,limited_height,in_mih,has_edesignation,fema_firm_zone,in_historic_district
,1003750041,186.62890625,1899,12,1003750041,745911,2100,66.015141721746915,34.38,Constructed,1004446,2017-08-22 18:50:09+00:00,Photogrammetric,323359,107.09,91.03,18.21,22538.0,61.7,3.39,,,,,,R7A,C2-5,,,False,False,,True
,1003750036,1054.80859375,2001,12,1003757501,879115,2100,130.36746207936486,78,Constructed,1004444,2017-08-22 18:34:31+00:00,Other (Manual),917738,605.25,514.46,102.89,127380.0,349.0,3.39,,,,,,R7-2,C1-5,,,False,False,,True
,1003560001,1253.421875,1950,11,1003560001,407738,2100,248.05306921252955,122.27,Constructed,1078057,2017-08-22 18:17:04+00:00,Photogrammetric,36829,719.25,611.36,122.27,151374.0,414.7,3.39,,,,,,R8A,C2-5,,,False,False,,True
,1003820100,1182.11328125,1950,10,1003820100,198831,2100,137.73052000511242,215.49,Constructed,1078024,2017-08-22 19:39:40+00:00,Photogrammetric,628270,678.23,576.49,115.3,142739.0,391.1,3.39,,,,,,R8A,C2-5,,,False,False,,True
,1003790021,603.63671875,1950,7,1003790021,421604,2100,106.40632580624333,70.59194866,Constructed,1004549,2017-08-22 18:53:06+00:00,Photogrammetric,803810,346.33,294.38,58.88,72889.0,199.7,3.39,,,,,,R7-2,C1-5,,,False,False,,True
,1003770030,274.9765625,2000,11,1003770030,57740,2100,70.05148212231461,66,Constructed,1084630,2017-08-22 17:46:15+00:00,Other (Manual),934018,157.77,134.11,26.82,33205.0,91.0,3.39,,,,,,R7A,C2-5,,,False,False,,True
,1003620001,1086.23046875,1948,9,1003620001,387013,2100,208.34065457081954,122.67,Constructed,1077554,2017-08-22 18:35:30+00:00,Photogrammetric,135394,623.27,529.78,105.96,131174.0,359.4,3.39,,,,,,R8B,C2-5,,,False,False,,True
,1003750042,300.109375,1900,10,1003750042,433816,2100,85.611642642437943,68.7,Constructed,1004447,2017-08-22 18:34:07+00:00,Photogrammetric,576060,172.2,146.37,29.27,36242.0,99.3,3.39,,,,,,R7A,C2-5,,,False,False,,True
,1003560001,1206.49609375,1950,12,1003560001,287840,2100,243.25584563847511,96.39,Constructed,1078050,2017-08-22 18:03:06+00:00,Photogrammetric,166364,692.3,588.45,117.69,145701.0,399.2,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003560001,1214.69140625,1950,11,1003560001,218267,2100,241.47483801898125,121.49,Constructed,1078051,2017-08-22 19:39:10+00:00,Photogrammetric,724575,697.0,592.45,118.49,146690.0,401.9,3.39,,,,,,R8A,C2-5,,,False,False,,True
,1003760023,206.18359375,1900,9,1003760023,354634,2100,72.059381096675224,41.51,Constructed,1004480,2017-08-22 17:47:35+00:00,Photogrammetric,458439,118.3,100.56,20.11,24898.0,68.2,3.39,,,,,,R8A,C1-5,,,False,False,,True
,1003940037,212.66796875,1910,8,1003940037,934833,2100,70.213190535333112,54.34,Constructed,1004911,2017-08-22 18:24:48+00:00,Photogrammetric,634536,122.01,103.71,20.74,25679.0,70.4,3.39,,,,,,R7-2,C2-5,,,False,False,,True
,1003790045,1106.76171875,1920,9,1003790045,227713,2100,133.72294958694198,76.75,Constructed,1004550,2017-08-22 17:49:27+00:00,Photogrammetric,273506,635.01,539.76,107.95,133644.0,366.1,3.39,,,,,,R7-2,C2-5,,,False,False,,True
,1003940047,283.0703125,2006,8,1003947505,52603,2100,77.343304136822127,75,Constructed,1087895,2017-08-22 17:27:23+00:00,Other (Manual),1105659,162.4,138.04,27.61,34180.0,93.6,3.39,,,,,,R8B,C2-5,,,False,False,,True
,1003620010,1226.84375,1950,9,1003620010,820011,2100,253.41266985455181,61.01,Constructed,1077504,2017-08-22 18:13:11+00:00,Photogrammetric,493599,703.91,598.33,119.67,148146.0,405.9,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003930040,336.00390625,1900,10,1003930040,584866,2100,81.402546880101355,51.23,Constructed,1004897,2017-08-22 18:28:42+00:00,Photogrammetric,101672,192.77,163.86,32.77,40571.0,111.2,3.39,,,,,,R8A,C1-5,,,False,False,,True
